item_id,product_name,department_name,price,stock_quantity
1,Sprouts - Onion,Automotive,78127.47,7079
2,"Soup - Campbells, Minestrone",Industrial,73893.9,25134
3,"Shrimp - Baby, Warm Water",Home,5394.77,7800
4,Coffee - Cafe Moreno,Garden,89357.0,95513
5,"Trout - Rainbow, Frozen",Music,93398.91,80000
6,Bread - Crusty Italian Poly,Shoes,37850.87,50723
7,Lotus Leaves,Outdoors,44075.95,18930
8,Sugar - Invert,Shoes,63546.59,91496
9,Chicken - Wieners,Baby,81023.08,41046
10,Crab - Imitation Flakes,Jewelery,64399.24,78156
